H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.039	0.069	0.036	0.022	0.085	0.021	0.015	0.919	0.007	0.106	1.36	0	0.462	0.062	0.062
0.045	0.113	0.036	0.056	0.015	0.018	0.024	0.851	0.012	0.056	0.818	0	0.442	0.059	0.065
0.045	0.072	0.035	0.138	0.024	0.036	0.032	0.617	0.012	0.224	0.642	0	0.366	0.054	0
1.01	0.047	0.032	0.022	0.138	0.034	1.06	0.151	0.771	0.361	0.88	4	0.724	0.066	0.097
0.039	0.052	0.032	0.037	0.014	0.031	0.015	0.054	0.028	0.09	0.572	0	0.484	0	0.056
0.043	0.044	0.032	0.022	0.025	0.033	0.088	0.06	0.062	0.056	0.667	7	0.616	0.069	0.08
1.18	0.041	0.042	0.022	0.137	0.04	0.666	0.766	0.967	0.358	0.356	0	0.61	0.069	0.124
0.039	0.095	0.032	0.043	0.031	0.027	0.038	0.135	0.032	0.078	1.72	0	0.44	0.051	0.065
0.039	0.046	0.032	0.029	0.02	0.036	0.03	0.003	0.031	0	0.1	0	0.588	0.061	0.07
0.047	0.039	0.032	0.022	0.02	0.03	0.067	0.004	0.861	0.056	0.296	2	0.626	0.97	0.837
0.039	0.084	0.039	0.022	0.014	0.033	0.022	1.18	0.009	0.164	0.37	0	0.352	0	0.055
0.377	0.039	0.032	0.043	1.41	0.026	0.621	0.054	0.604	0.203	0.225	3	0.724	0.068	0.529
0.377	0.039	0.032	0.043	1.41	0.026	0.621	0.054	0.604	0.203	0.225	3	0.722	0.068	0.529
0.039	0.05	0.032	0.051	0.034	0.034	0.035	0.602	0.032	0.136	0.617	0	0.426	0	0.06
0.039	0.051	0.032	0.066	0.034	0.039	0.025	0.586	0.026	0.137	0.694	0	0.412	0.051	0.06
