H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.041	0.033	0.052	0.15	0	0.082	0.004	0.032	0
0.141	0.007	0.044	0.068	0.093	0.097	0.154	0.716	0.036	0.0275
0	0.036	0.033	0.038	0.177	0.063	0.126	0.409	0.032	0.0485
0	0.023	0.067	0.038	0	0	0.082	0.028	0.06	0
0.169	0.037	0.034	0.08	0.071	0.088	0.129	0.004	0.035	0.00533
0	0.007	0.058	0.056	0.071	0.063	0.135	0.004	0.047	0.00133
0.255	0.012	0.025	0.038	0.071	0	0	0.004	0.032	0
0	0.013	0.031	0.073	0.071	0	0.082	0.06	0.032	0.00272
0	0.016	0.046	0.061	0.071	0.063	0.171	0.067	0.037	0.00723
0	0.031	0.037	0.046	0.096	0.063	0.094	0.004	0.044	0.0169
0	0.041	0.046	0.056	0	0	0.082	0.004	0.038	0
0	0.018	0.074	0.123	0.071	0.063	0	0.004	0.07	0
0	0.02	0.045	0	0.071	0.063	0	0.004	0.04	0
0.17	0.028	0.027	0.056	0.102	0.063	0.082	0.267	0.04	0.043
0	0.037	0.05	0.047	0.071	0.063	0.148	0.008	0.046	0.00128
0	0.022	0.031	0.071	0.071	0	0.082	0.028	0.032	0.00333
0	0.019	0.048	0.128	0.071	0.063	0.082	0.004	0.035	0.00112
0	0	0.032	0.038	0.071	0	0	1.32	0.042	0.0234
0.04	0.007	0.033	0.088	0.071	0.078	0.11	3.85	0.111	0.021
0	0.03	0.036	0.067	0.071	0	0	0.004	0.035	0
0	0.022	0.034	0.038	0.071	0	0.082	0.028	0.037	0
0	0.055	0.045	0.047	0.15	0.063	0.082	0.028	0.032	0
1.35	0.032	0.02	0.073	0	0	0.082	0.034	0.043	0.0295
0.224	0.023	0.035	0.059	0	0.063	0.082	0.004	0.032	0
0	0.025	0.016	0.038	0.123	0.063	0	0.151	0.038	0.0101
0	0.038	0.031	0	0.071	0	0.082	0.156	0.036	0.0119
0	0.026	0.045	0.07	0.071	0.063	0.112	0.004	0.094	0
0.51	0.011	0.05	0.083	0	0.063	0	0.004	0.036	0.00161
0	0.036	0.028	0.043	0.071	0.063	0	0.004	0.035	0
0	0.012	0.056	0.117	0	0	0	0.004	0	0
0	0.026	0.058	0.038	0.071	0	0	0.004	0.032	0
0	0.019	0.019	0.056	0.071	0.063	0.082	0.028	0.034	0.00117
0	0.007	0.037	0.068	0.071	0.063	0.082	0.004	0.032	0.0015
0	0.013	0.038	0	0.071	0.063	0.082	0.004	0.034	0
0	0.024	0.042	0.064	0.071	0.138	0.114	0.004	0.039	0.001
0	0.031	0.025	0.047	0	0	0	0.004	0.04	0
0.448	0.026	0.056	0.038	0.071	0.063	0.082	0.004	0.047	0
0	0.04	0.072	0.108	0	0	0.082	0.004	0.034	0
0	0.018	0.037	0.051	0.071	0.063	0	0.155	0.041	0.00691
0	0.015	0.024	0.096	0	0.063	0	0.004	0.032	0.00156
0	0.026	0.053	0.043	0.071	0.088	0.082	0.004	0.032	0
0	0.025	0.027	0.042	0.071	0.143	0.082	0.004	0.046	0
0	0.007	0.084	0.073	0	0.063	0.082	0.067	0.04	0
