H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.045	0.037	0.044	0	0.015	0.039	0.03	0	0.008	0	1.18	0	0.454	0.058	0.063
0.054	0.016	0.037	0.036	0.032	0.07	0.019	0	0.008	0	0.113	0	0.35	0.048	0.074
0.047	0.046	0.036	0.028	0.015	0.025	0.039	0.469	0.009	0.091	0.586	0	0.384	0.063	0.055
0.031	0.03	0.044	0	0.004	0.018	0.014	0	0.006	0	1.68	0	0.446	0	0.055
0.042	0.043	0.037	0.027	0.007	0.042	0.014	0	0.009	0	0.688	0	0.292	0.048	0.077
0.04	0.014	0.042	0.066	0.012	0.025	0.005	0	0.017	0	0.023	0	0.33	0.048	0.065
0	0.019	0.051	0.025	0.004	0.024	0.03	0	0.013	0	0.174	0	0.356	0.048	0.055
0.034	0.024	0.035	0.021	0.004	0.018	0.005	0	0.007	0	2.27	0	0.446	0	0
0.038	0.057	0.038	0.044	0.015	0.032	0.005	0	0.007	0	0.086	0	0.306	0.048	0.055
0	0.03	0.035	0.051	0.004	0.02	0.019	0	0.009	0	0.182	0	0.258	0.048	0.074
0.036	0.044	0.039	0.1	0.016	0.018	0.005	0	0.015	0	5.05	0	0.342	0.048	0.059
0.041	0.014	0.041	0.149	0.145	0.03	0.048	0	0.402	0.021	1.15	0	0.404	0.048	0.148
0.031	0.035	0.038	0.03	0.028	0.023	0.014	0	0.006	0	0.785	0	0.338	0.048	0.055
0	0.078	0.033	0.028	0.026	0.022	0.023	1.16	0.006	0.056	0.525	0	0.282	0.048	0.055
0.031	0.051	0.032	0.048	0.004	0.025	0.019	0	0.004	0	1	0	0.444	0.048	0.055
0.042	0.029	0.032	0.048	0.027	0.024	0.023	0	0.003	0	0.042	0	0.31	0.048	0.063
0.061	0.04	0.035	0.038	0.025	0.021	0.023	0	0.007	0	0.119	0	0.392	0.059	0.06
0.034	0.022	0.035	0.042	0.018	0.018	0.01	0	0.009	0	0.548	0	0.36	0.076	0
0.041	0.015	0.041	0.051	0.027	0.051	0.014	0	0.013	0	0.075	0	0.444	0.048	0.066
0.066	0.029	0.038	0.207	0.098	0.028	0.023	0	0.063	0	0.405	0	0.416	0.05	0.074
0.044	0.013	0.047	0.034	0.004	0.04	0.023	0	0.009	0	0.409	0	0.36	0.051	0.063
0.044	0.029	0.035	0.096	0.02	0.024	0.049	0	0.027	0	1.23	0	0.434	0.048	0.109
0.033	0.046	0.035	0.028	0.015	0.05	0.023	0	0.007	0	1.46	0	0.4	0.048	0.066
0.042	0.016	0.041	0.028	0.015	0.052	0.019	0	0.012	0	1.02	0	0.452	0.059	0.055
0.034	0.032	0.036	0.028	0.015	0.034	0.048	0	0.008	0	0.161	0	0.356	0.059	0.055
0.033	0.027	0.032	0.028	0.039	0.025	0.036	0.07	0.008	0.021	1.59	0	0.438	0.048	0.067
0.05	0.043	0.035	0.035	0.029	0.041	0.045	0.067	0.013	0.021	0.461	0	0.422	0.072	0.055
0	0	0	0	0.004	0	0.005	1.79	0	0	0.401	0	0.5	0	0
0.035	0.017	0.042	0.032	0.027	0.043	0.019	0.096	0.011	0.057	0.779	2	0.53	0.048	0.055
0	0.024	0.032	0	0.004	0.029	0.005	0	0.007	0	0.72	0	0.27	0.048	0.055
0.049	0.014	0.037	0.031	0.007	0.05	0.026	0	0.007	0	1.62	0	0.43	0.051	0.055
0.053	0.015	0.038	0.089	0.116	0.029	0.06	0	0.024	0.021	0.492	0	0.496	0.063	0.06
0.034	0.018	0.04	0	0.021	0.05	0.019	0	0.013	0	0.734	0	0.422	0.048	0
0.031	0.042	0.049	0.025	0.021	0.02	0.028	0.28	0.01	0.088	1.77	0	0.386	0.076	0.13
0.042	0.018	0.033	0.036	0.015	0.062	0.023	0	0.018	0	0.791	0	0.438	0.048	0.055
0.034	0.026	0.033	0	0.018	0.04	0.014	0	0.011	0	0.302	0	0.346	0.059	0.068
0.031	0.029	0.047	0.021	0.015	0.053	0.03	0	0.012	0	0.227	0	0.448	0.067	0.055
0	0	0.032	0.028	0.012	0.028	0.01	0	0.006	0	0.764	0	0.314	0.064	0
0.042	0.014	0.037	0.039	0.004	0.03	0.028	0	0.009	0	0.089	0	0.398	0.048	0.059
0.033	0.03	0.048	0.041	0.007	0	0.028	0	0.007	0.138	2.04	0	0.396	0.048	0
0.034	0.092	0.036	0.039	0.004	0.022	0.019	0.567	0.005	0.04	0.191	0	0.308	0	0.055
0.036	0.034	0.046	0.048	0.038	0.024	0.014	0.128	0.007	0.068	0.91	0	0.348	0.048	0.055
0.031	0.018	0.033	0.032	0.023	0.021	0.005	0	0.011	0.021	0.085	0	0.276	0.048	0.055
0.038	0.028	0.035	0.04	0.025	0.052	0.022	0.07	0.012	0	0.327	0	0.456	0.058	0.068
0.033	0.02	0	0.021	0.007	0.056	0.005	0	0.011	0	1.52	0	0.446	0.048	0.06
0.031	0.144	0.035	0.038	0.015	0.022	0.025	1.93	0.006	0.042	0.393	0	0.354	0.048	0.055
0.044	0.018	0.039	0.036	0.032	0.038	0.005	0	0.005	0	0.133	0	0.438	0.048	0.055
0	0.024	0.046	0.021	0.004	0.021	0.019	0	0.009	0	1.57	0	0.398	0.076	0.055
0	0	0.036	0.044	0.018	0.039	0.014	0	0.008	0	0.987	0	0.422	0.048	0.055
0.042	0.033	0.032	0.034	0.015	0.023	0.005	0	0.007	0	1.17	0	0.452	0.048	0.055
0.031	0.021	0.032	0.044	0.004	0.028	0.037	0	0.008	0	0.803	0	0.438	0.048	0.063
0	0.016	0.039	0	0.012	0.021	0.01	0	0.006	0	1.53	0	0.414	0	0.055
0.044	0.014	0.039	0.053	0.015	0.034	0.014	0	0.01	0	0.397	0	0.52	0.048	0.061
0.035	0.055	0.039	0.053	0.015	0.021	0.01	0.988	0.006	0	1.08	0	0.5	0.052	0.079
0.041	0.024	0.033	0.021	0.01	0.036	0.019	0	0.009	0.024	0.212	0	0.428	0.048	0.055
0.036	0.032	0.041	0.04	0.004	0.03	0.005	0	0.024	0	0.397	0	0.296	0.059	0.076
0	0	0	0	0.004	0	0.005	0	0.015	0	0.142	0	0.468	0.048	0.13
0.051	0.037	0.043	0.053	0.018	0.104	0.044	0	0.011	0	0.787	0	0.492	0.058	0.082
0.054	0.021	0.038	0.05	0.018	0.033	0.036	0	0.01	0	0.532	0	0.382	0.057	0.06
0.039	0.021	0.036	0.076	0.004	0.044	0.032	0	0.012	0	0.425	0	0.36	0	0.088
0.06	0.031	0.033	0.044	0.008	0.044	0.023	0	0.011	0	0.14	0	0.342	0.048	0
0.039	0.021	0.032	0	0.008	0.043	0.01	0.037	0.011	0	0.621	0	0.418	0.076	0.055
0.031	0	0	0	0.004	0.036	0.023	0	0.008	0	0.06	0	0.376	0	0.055
0.035	0.027	0.042	0	0.015	0.035	0.014	0	0.01	0	0.143	0	0.33	0.048	0.076
0.051	0.046	0.045	0.028	0.015	0.018	0.005	0.367	0.006	0.088	1.19	0	0.38	0.059	0
0.031	0.021	0.039	0.025	0.02	0.02	0.028	0	0.012	0	0.302	0	0.546	0.057	0.07
0.04	0.046	0.05	0.049	0.004	0.07	0.026	0	0.01	0.021	0.903	0	0.44	0.048	0.055
0	0.014	0.036	0.028	0.012	0.224	0.014	0	0.01	0	0.765	0	0.492	0.064	0.055
0.034	0.014	0.032	0.021	0.007	0.092	0.022	0	0.007	0	1.81	0	0.524	0.048	0.055
0.033	0.019	0.062	0.028	0.004	0.028	0.014	0	0.006	0	0.084	0	0.272	0.048	0.055
